company,state,industry,type,location,off,dayopen,dayclose,holopen,holclose,TelNo,lapti,longit
양재점 현대자동차,서초구,정비업소,손세차,서초구 매헌로 50 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-649-3811,37.465295,127.0345293
지쓰리(G3)카케어,서초구,세차장,손세차,"  서초구 명달로 101, 1층 (서초동)",연중무휴,9:00,18:00,9:00,18:00,02-552-6437,37.4864013,127.0038871
삼성카크리닉,서초구,주유소,자동세차,서초구 효령로 19 (방배동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-643-9846,37.4776687,126.9869434
엘앤티렉서스㈜ 서초지점,서초구,정비업소,손세차,서초구 반포대로 77 (서초동),null,null,null,null,null,02-644-6449,37.4869854,127.0094799
청진자동차정비㈜,서초구,정비업소,손세차,서초구 과천대로 904-6 (방배동),null,null,null,null,null,02-642-7000,37.4716192,126.9840612
넥센타이어테크 강남총판점,서초구,정비업소,손세차,서초구 주흥3길 30 (반포동),null,null,null,null,null,02-633-6991,37.5043273,127.0188842
㈜태림석유 선천주유소,서초구,주유소,자동세차,서초구 동작대로 206 (방배동),null,null,null,null,null,02-646-1160,37.4949358,126.9832168
㈜한독모터스 방배영업소,서초구,주유소,자동세차,서초구 방배로 214 (방배동),null,null,null,null,null,02-648-5586,37.4924012,126.990201
㈜선문에너지(중앙주유소),서초구,주유소,자동세차,서초구 바우뫼로 219 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-642-5161,37.4815752,127.0422394
현대공업사,서초구,정비업소,손세차,서초구 명달로 98 (서초동),null,null,null,null,null,null,37.4859874,127.0042744
일동자동차공업사,서초구,정비업소,손세차,서초구 바우뫼로27길 7-17 (양재동),null,null,null,null,null,02-648-2181,37.4766454,127.0358158
기성세차장,서초구,세차장,손세차,서초구 강남대로101안길 44 (잠원동),null,null,null,null,null,null,37.5160731,127.0164029
카랜드,서초구,정비업소,손세차,서초구 서초대로 78 (방배동),null,null,null,null,null,null,37.4866098,126.9908824
씨앤아이 멀티샵,서초구,세차장,손세차,서초구 언남길 58 (양재동),null,null,null,null,null,02-633-5464,37.4738503,127.0437669
태건석유㈜양재최고주유소,서초구,주유소,자동세차,서초구 매헌로 72 (양재동),null,null,null,null,null,02-637-4111,37.4672038,127.0347286
스마일세차장,서초구,세차장,손세차,서초구 논현로 13 (양재동),null,null,null,null,null,02-637-5777,37.4723024,127.0496637
르노삼성자동차 양재개포점,서초구,정비업소,손세차,서초구 마방로 50 (양재동),null,null,null,null,null,02-641-9981,37.476602,127.0427636
동양자동차,서초구,정비업소,손세차,서초구 마방로 42 (양재동),null,null,null,null,null,02-634-5500,37.4760646,127.0423221
극동유화(주)전당앞주유소,서초구,주유소,자동세차,서초구 남부순환로 2391(서초동),null,null,null,null,null,null,37.4805759,127.0119879
현대오일뱅크㈜직영 서초제일주유소,서초구,주유소,자동세차,서초구 사임당로 116 (서초동),일요일,9:00,18:00,null,null,02-898-1164,37.4905777,127.0226421
대신석유㈜ 서원주유소,서초구,주유소,자동세차,서초구 반포대로 142 (서초동),null,9:00,18:00,0:00,0:00,02-803-9441,37.4927546,127.007577
오토하우스,서초구,정비업소,손세차,서초구 효령로 169 (서초동),일요일,9:00,18:00,null,null,02-808-6502,37.4826793,127.0026043
서초남부점 기아오토큐,서초구,정비업소,손세차,서초구 서초대로42길 70 (서초동),null,9:00,18:00,0:00,0:00,02-569-5109,37.4889971,127.0097816
서초동부점 현대자동차,서초구,정비업소,손세차,서초구 서초대로42길 55 (서초동),null,9:00,18:00,0:00,0:00,null,37.4896617,127.0097886
카플러스,서초구,정비업소,손세차,서초구 효령로 346 (서초동),null,9:00,18:00,0:00,0:00,02-562-8118,37.4862826,127.0218788
대성산업㈜ 터미널주유소,서초구,주유소,자동세차,서초구 신반포로 222 (반포동),일요일,9:00,18:00,null,null,02-568-8951,37.5069117,127.0087506
대성석유㈜ 연일주유소,서초구,주유소,자동세차,서초구 남부순환로 2451 (서초동),일요일,9:00,18:00,null,null,02-581-3127,37.4826019,127.0185804
현대오일뱅크㈜직영 사평로주유소,서초구,주유소,자동세차,서초구 사평대로 350 (서초동),일요일,9:00,18:00,null,null,02-585-028,37.502894,127.0215252
제트라인모터스,서초구,정비업소,손세차,서초구 동산로2길 28 (양재동),null,null,null,null,null,02-567-5109,37.4685879,127.042336
D-Line motors,서초구,정비업소,손세차,서초구 서초중앙로18길 37 (서초동),null,null,null,null,null,02-567-2263,37.873135,127.0163187
서초남부점 현대자동차,서초구,정비업소,손세차,서초구 서초대로53길 16 (서초동),null,null,null,null,null,02-575-4716,37.4956136,127.0149676
반포그린주유소,서초구,주유소,자동세차,서초구 서초중앙로 239 (반포동),null,null,null,null,null,02-848-8894,37.5029777,127.010995
